"","X","profile_id","upper_depth","latitude","longitude","dsds","profile_layer_id","lower_depth","layer_name","sand_value_avg","silt_value_avg","clay_value_avg","bdfiod_value_avg","bdfiod_method","orgc_value_avg","totc_value_avg","orgc_sd","cstock_t.ha","landcover"
"105",1839,607154,0,38.70243073,-9.32055855,70,3111554,20,NA,NA,17,4.4,NA,NA,2.195,NA,1.44956890143242,52.5107548706804,"Grassland"
"116",1993,607165,0,38.70085144,-9.31458378,130,3111594,23,NA,NA,16,10,NA,NA,1.6,NA,0.848528137423857,45.3399915161728,"Cropland"
"129",2201,607178,0,38.92113876,-9.17293167,55,3111644,25,NA,NA,19,10.9,NA,NA,1.45,NA,0.254558441227157,44.5813356710303,"Grassland"
"136",2261,607185,0,38.98690033,-9.21197128,80,3111662,30,NA,NA,11.8,7.2,NA,NA,1.805,NA,0.417193000900063,66.3206387978792,"Bare/sparse vegetation"
"143",2361,607192,0,38.70381927,-9.32080269,105,3111688,25,NA,NA,31.7,14.8,NA,NA,0.885,NA,0.685893577750951,27.2147531551723,"Grassland"
"162",2600,607211,0,38.70780182,-9.31451988,25,3111749,25,NA,NA,12.3,4.3,NA,NA,1.51,NA,NA,47.9790116247522,"Grassland"
"163",2601,607212,0,38.69536972,-9.32098293,120,3111750,30,NA,NA,44.7,23.8,NA,NA,2.685,NA,0.81317279836453,82.5484123170219,"Built-up"
"178",2811,607227,0,38.69841003,-9.31419754,115,3111804,20,NA,NA,20.2,7.8,NA,NA,1.62333333333333,NA,1.03876529270732,39.906124642456,"Grassland"
"182",2886,607231,0,38.69908905,-9.31344414,50,3111821,20,NA,NA,21.4,13.9,NA,NA,2.3,NA,2.26274169979695,52.6950443623371,"Grassland"
"186",2932,607235,0,38.95074081,-9.2221241,140,3111833,40,NA,NA,22,54.4,1.33,"{""1:sample type = not specified, calculation = not specified, corrections = not specified, measurement condition = oven dry (~ 105-110 °C)""}",0.65,NA,0.579827560572969,29.7884434134573,"Tree cover"
"188",2961,607237,0,38.94958115,-9.22222042,135,3111840,20,NA,NA,17.9,59,1.3,"{""1:sample type = not specified, calculation = not specified, corrections = not specified, measurement condition = oven dry (~ 105-110 °C)""}",0.533333333333333,NA,0.345301800362137,12.7094317754498,"Grassland"
"223",3399,607272,0,38.69728088,-9.31353378,140,3111958,20,NA,NA,35.1,11.2,NA,NA,0.55,NA,0.177763888346312,14.0335770001434,"Grassland"
"227",3469,607276,0,38.69963074,-9.31812763,50,3111974,15,NA,NA,26.9,12.8,NA,NA,1.46666666666667,NA,1.08840862424612,26.8315143026455,"Tree cover"
"230",3483,607279,0,38.99137115,-9.07625198,55,3111980,30,NA,NA,13.9,21.5,1.7,"{""1:sample type = not specified, calculation = not specified, corrections = not specified, measurement condition = oven dry (~ 105-110 °C)""}",0.485,NA,0.205060966544099,18.9185163542247,"Built-up"
"234",3530,607283,0,38.70230865,-9.31724453,155,3111993,15,NA,NA,26,7.8,NA,NA,3.11,NA,1.47278647467988,51.0581073576905,"Grassland"
"251",3733,607300,0,38.70098114,-9.30984402,20,3112046,20,NA,NA,42.7,22.8,NA,NA,9,NA,NA,132.776596923788,"Grassland"
"252",3734,607301,0,38.70074081,-9.31860256,12,3112047,12,NA,NA,44.3,11.5,NA,NA,2,NA,NA,27.3220079434193,"Cropland"
"253",3735,607302,0,38.69993973,-9.31111908,20,3112048,20,NA,NA,35.1,13.2,NA,NA,5.8,NA,NA,103.285748978061,"Grassland"
"255",3745,607304,0,38.6998291,-9.31686974,100,3112052,20,NA,NA,10.4,11.6,NA,NA,1.6475,NA,1.04637071187351,41.0924406132863,"Grassland"
"256",3761,607305,0,38.70429993,-9.32266712,150,3112056,27,NA,NA,8.3,6.3,NA,NA,0.965,NA,0.855599205235723,34.7935203881133,"Grassland"
"257",3786,607306,0,38.69469833,-9.32160854,115,3112061,30,NA,NA,13.2,8.8,NA,NA,2.35,NA,0.721248916810279,82.10730835243,"Grassland"
"258",3802,607307,0,38.70351028,-9.3184166,135,3112065,25,NA,NA,14.2,4,NA,NA,2.865,NA,1.209152595829,81.5418311715075,"Tree cover"
"259",3827,607308,0,38.69932938,-9.31093025,140,3112070,25,NA,NA,16.5,11.1,NA,NA,2.02,NA,0.676017751246223,59.7823939376792,"Grassland"
"260",3852,607309,0,38.69900131,-9.31149769,70,3112075,25,NA,NA,15.1,11.7,NA,NA,1.46666666666667,NA,1.85831464863551,45.4221667192775,"Grassland"
"269",3956,607318,0,38.694561,-9.31616116,115,3112105,30,NA,NA,17.5,14.7,NA,NA,1.02,NA,0.834386001800126,38.4344668823958,"Grassland"
"277",4029,607326,0,38.69694138,-9.31599426,140,3112128,30,NA,NA,17.2,14.6,NA,NA,1.75,NA,1.15614301306831,62.3409113521433,"Grassland"
"292",4306,607341,0,38.64603043,-9.17795467,58,3112191,22,NA,NA,15.3,10.2,NA,NA,0.453333333333333,NA,0.211266025033211,13.5667442365994,"Bare/sparse vegetation"
"11",596,598836,0,39.96670151,-7.8499999,80,3089724,30,NA,41,NA,18,NA,NA,2.16666666666667,NA,1.56311654502578,NA,"Tree cover"
"12",608,598837,0,41.54999924,-8.2166996,130,3089728,30,NA,67,NA,12,NA,NA,1.4,NA,2.20605228103657,NA,"Tree cover"
"14",633,598917,0,40.31669998,-7.55000019,50,3090087,30,NA,81,NA,10,NA,NA,2.45,NA,2.33345237791561,NA,"Grassland"
"15",637,598918,0,40.20000076,-7.21670008,70,3090089,30,NA,42,NA,22,NA,NA,3,NA,2.82842712474619,NA,"Tree cover"
"17",650,598991,0,39.86669922,-7.36670017,90,3090423,20,NA,87,NA,6,NA,NA,0.32,NA,0.130384048104053,NA,"Grassland"
